DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0.1012666666666665	0.03552687250137157,0.008306908469837013,-0.01175250224623378	0.02396177382777187,-0.0007557575781365171,-0.0105292976691428
0.1045333333333331	0.03552311995004352,0.008316911079098217,-0.01175480753873248	0.02396417979527984,-0.0007534247976627734,-0.01052864546569204
0.1077999999999998	0.03551926943274741,0.008327998482515621,-0.01175725891332808	0.02396711852388094,-0.0007508091536220386,-0.01052820608184728
0.1110666666666665	0.03551539396927102,0.008339920011692762,-0.01175980472613952	0.0239704974112501,-0.0007479417193282604,-0.0105279167462833
0.1143333333333331	0.03551156058217727,0.008352420073215598,-0.01176239481471248	0.02397421933458248,-0.0007448629692548021,-0.01052772337901742
0.1175999999999998	0.03550782496657614,0.008365242283168511,-0.0117649823468115	0.02397818320440886,-0.0007416273552854902,-0.01052758803071607
0.1208666666666664	0.03550423794730077,0.008378134466318236,-0.0117675226805508	0.02398228835208777,-0.0007382942615573977,-0.01052748033277393
0.1241333333333331	0.03550084118266706,0.008390858989737168,-0.01176997630880585	0.02398643853730833,-0.0007349287614483255,-0.0105273833932283
0.1273999999999997	0.03549767250246039,0.008403188608814862,-0.01177230670790499	0.0239905413898553,-0.0007315970795721913,-0.01052728623728023
0.1306666666666664	0.0354947619905679,0.008414919860145396,-0.01177448328982844	0.02399451375034133,-0.0007283650325952146,-0.01052718789866771
0.1339333333333331	0.03549213635461714,0.00842586282701766,-0.01177647843521049	0.02399827789759157,-0.0007252970863632965,-0.01052709150806883
0.1371999999999997	0.03548981544012741,0.008435855728119765,-0.01177827010898297	0.02400176731292529,-0.0007224532773021757,-0.01052700666806798
0.1404666666666664	0.0354878159321018,0.008444751438554363,-0.01177983887347283	0.0240049213342532,-0.0007198907055778869,-0.01052694536283042
0.143733333333333	0.03548614824134282,0.00845243182024678,-0.01178117003937646	0.02400769062727538,-0.0007176597046175022,-0.0105269228805637
0.1469999999999997	0.03548481977117078,0.008458793079386406,-0.01178225107612437	0.02401003141639348,-0.0007158068052200584,-0.01052695543305149
0.1502666666666664	0.03548383252407027,0.008463759564227834,-0.01178307371215243	0.02401191082712231,-0.0007143702137393949,-0.01052705988648156
0.153533333333333	0.03548318590752538,0.00846726927461164,-0.01178363177492715	0.0240133012584848,-0.0007133836491978029,-0.01052725284562035
0.1567999999999997	0.03548287480078596,0.008469286453291747,-0.01178392300484058	0.02401418513650681,-0.0007128716608541131,-0.01052754941495008
0.1600666666666663	0.03548289187394813,0.008469787798234785,-0.01178394710130182	0.02401454961054242,-0.0007128540388403777,-0.01052796350084459
0.163333333333333	0.03548322628793232,0.008468773892641872,-0.01178370753507552	0.02401439094046356,-0.0007133409891762962,-0.01052850588192435
0.1665999999999997	0.0354838655410921,0.008466256568569403,-0.01178320976805676	0.02401370968945828,-0.0007143378185590736,-0.01052918548105779
0.1698666666666663	0.03548479466533159,0.00846226887709358,-0.01178246304920997	0.0240125145966718,-0.0007158403034668477,-0.01053000706355203
0.173133333333333	0.03548599758537349,0.008456853716043679,-0.01178147862539307	0.02401081823447184,-0.0007178394747081925,-0.01053097317950367
0.1763999999999996	0.03548745677411575,0.008450072355706025,-0.01178027148795735	0.02400864043996665,-0.0007203173418527092,-0.01053208182004678
0.1796666666666663	0.03548915414152832,0.008441994515607469,-0.0117788585146695	0.02400600445749628,-0.0007232515325500816,-0.01053332869489921
0.182933333333333	0.03549107078362758,0.008432705030475047,-0.01177725967371314	0.02400293954270085,-0.0007266118676226788,-0.01053470513487481
0.1861999999999996	0.03549318751911328,0.008422295454465965,-0.01177549624699771	0.0239994776398724,-0.0007303645991290856,-0.01053620039463053
0.1894666666666663	0.03549548474718749,0.008410869014282518,-0.01177359150783771	0.02399565532054075,-0.0007344698842118857,-0.01053780008773426
0.1927333333333329	0.03549794282893348,0.008398534005482338,-0.01177156937343475	0.02399151120420548,-0.0007388852581526745,-0.0105394882350722
0.1959999999999996	0.0355005421408582,0.008385407414823222,-0.01176945464241252	0.02398708752839096,-0.000743563871931913,-0.01054124640641304
0.1992666666666663	0.03550326329540367,0.008371609967207176,-0.01176727218644936	0.02398242818136853,-0.0007484571240502988,-0.01054305525287838
0.2025333333333329	0.03550608713538338,0.00835726821289145,-0.0117650466341895	0.02397757968651298,-0.0007535139536142682,-0.01054489455384365
0.2057999999999996	0.03550899485428208,0.00834251101443604,-0.01176280199854026	0.0239725897231769,-0.0007586825833046738,-0.01054674402169937
0.2090666666666662	0.03551196807575396,0.008327470835701669,-0.01176056054028099	0.02396750795293852,-0.0007639104879686564,-0.01054858420934952
0.2123333333333329	0.03551498893389549,0.008312281655389241,-0.01175834310353867	0.02396238504647636,-0.0007691451581870266,-0.01055039647083223
0.2155999999999996	0.03551804076508126,0.008297080695989306,-0.0117561678328506	0.02395727433922515,-0.000774333964749508,-0.01055216473390572
0.2188666666666662	0.03552110801587399,0.008282007038046641,-0.01175405162250899	0.02395223097579107,-0.0007794243359548932,-0.01055387473408737
0.2221333333333329	0.03552417892930768,0.008267205037339635,-0.01175201272855852	0.02394731639990426,-0.0007843626401331447,-0.01055551771070527
0.2253999999999995	0.03552724450839096,0.008252822289087993,-0.01175007198750513	0.02394259630911742,-0.0007890946349683927,-0.01055708863640208
0.2286666666666662	0.0355303023514193,0.008239012259812682,-0.01174826219012818	0.02393814688887192,-0.0007935655406222236,-0.01055859384163603
0.2319333333333329	0.03553335402085353,0.008225931013545879,-0.0117466248038962	0.02393405031167901,-0.0007977209346927711,-0.01056004701031195
0.2351999999999995	0.03553640480169337,0.008213730757903702,-0.01174521954206306	0.02393039514525985,-0.0008015145661539481,-0.01056148173588998
0.2384666666666662	0.03553946103825091,0.008202558182007991,-0.0117441155208468	0.02392727141612831,-0.0008049072415086643,-0.01056294402248103
0.2417333333333328	0.03554252325206909,0.008192530825020836,-0.01174339542990851	0.02392475933144801,-0.0008078870291750619,-0.01056450997816335
0.2449999999999995	0.03554558689302898,0.008183743900688755,-0.01174314778191313	0.02392292968348757,-0.0008104610966629868,-0.01056627401938029
0.2482666666666662	0.03554863223837854,0.008176223019454528,-0.01174347649449498	0.02392182133801131,-0.0008126898611895313,-0.0105683746631562
0.2515333333333328	0.03555162914561838,0.008169946905508568,-0.01174449347865885	0.02392145019682342,-0.0008146673944219498,-0.01057097545697452
0.2547999999999995	0.03555451073443801,0.008164756633139836,-0.01174631383488671	0.02392175511307298,-0.000816582633809574,-0.01057429466651818
0.2580666666666662	0.03555718481085188,0.008160405363681643,-0.01174904008758459	0.02392262142377006,-0.0008186821325669117,-0.01057857657515315
0.2613333333333328	0.035559470296954,0.008156414905291055,-0.01175266200711139	0.02392376502544094,-0.000821362451442478,-0.01058409524398651
0.2645999999999994	0.03556113096468634,0.008152171327189451,-0.01175707338564328	0.02392479537397212,-0.0008251045701769422,-0.01059112997440949
