DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0.1273999999999997	0.03656835489932488,0.004339760114998739,-0.01493795624329647	0.02352612423714591,-0.002307358843555459,-0.01348829004322796
0.1306666666666664	0.03669486924338895,0.004347712994962585,-0.01519031742640212	0.02365282059974059,-0.002247777365473356,-0.01357290106250975
0.1339333333333331	0.03680007149045202,0.004368107133518265,-0.01536120443473145	0.02376045217416925,-0.002191425376846971,-0.01362866990063494
0.1371999999999997	0.03687231044144031,0.004353535761398717,-0.01549760845516723	0.02382564994037566,-0.002159440043105554,-0.01367731666435965
0.1404666666666664	0.0369073851850825,0.004270699347956333,-0.01564496278294343	0.02383707684953679,-0.002165308917377892,-0.01374240169116574
0.143733333333333	0.03693007846255326,0.004198980590732577,-0.01577663312764181	0.02384132629894108,-0.002175913869609169,-0.01381022444342009
0.1469999999999997	0.03696072102432579,0.004213541306608939,-0.01586076002169914	0.02387860462504125,-0.002161577793803044,-0.01386325045707528
0.1502666666666664	0.03697159401271003,0.004266239800353348,-0.01592270513298244	0.02391162938132023,-0.002147897803953388,-0.0139071037205448
0.153533333333333	0.03693697044450477,0.004287018789929863,-0.01599640721079266	0.02389800655249452,-0.002164926127266362,-0.0139514665062942
0.1567999999999997	0.03688632854949446,0.004240633683919014,-0.01609036236006778	0.02384924678411032,-0.002205088703839982,-0.01399813971603506
0.1600666666666663	0.03685163420000354,0.004126198184603625,-0.01620158886223865	0.02379042238896827,-0.002251232768192571,-0.01404593400383339
0.163333333333333	0.0368218386539166,0.004045822600349053,-0.01630488687736543	0.02374742695202246,-0.002285932535654019,-0.01409028107623997
0.1665999999999997	0.0367800879959319,0.004081476167014569,-0.0163786463601602	0.0237337409044482,-0.002300527289197057,-0.01412765972141514
0.1698666666666663	0.03672196256679025,0.004131869831008357,-0.01644248253827691	0.02371141349203571,-0.002319937884277791,-0.01416222238682054
0.173133333333333	0.03664871021848132,0.004091230062956464,-0.01652278788381391	0.02364517695206669,-0.002366887758179736,-0.0141999148118449
0.1763999999999996	0.03656963927549065,0.004014205611988772,-0.01662676878804035	0.02356315867814637,-0.002423636789582101,-0.01424522065836266
0.1796666666666663	0.03649541677627147,0.003977652347055752,-0.01674885818645633	0.02350195095185751,-0.002467949936458911,-0.01429959991357928
0.182933333333333	0.03643211492691951,0.003990604961400878,-0.01685491950496942	0.02346596939913109,-0.002496485519501691,-0.01435400629207568
0.1861999999999996	0.03638123075495914,0.004033602612122534,-0.01691739059212218	0.02344602603607514,-0.002513896644940637,-0.0143988305475119
0.1894666666666663	0.03633011878551581,0.004042446104368399,-0.01696269680097259	0.02341134463638121,-0.00253836495344447,-0.01443315644563324
0.1927333333333329	0.03626632674779599,0.003974467708627973,-0.01702202020760179	0.02333960389817131,-0.002582849030906826,-0.01445919003971697
0.1959999999999996	0.03619371383511287,0.003913940514861488,-0.01708952703415285	0.02326492566838348,-0.002627894272358506,-0.01448286312609514
0.1992666666666663	0.03612011970768782,0.003940154970215224,-0.01714909738970773	0.02322164810910226,-0.002654890750036129,-0.01450814001073216
0.2025333333333329	0.03604838150202246,0.003989787075675582,-0.01718243821254684	0.02318591499619201,-0.002676639273233836,-0.01452636635759827
0.2057999999999996	0.03598134484459627,0.003989850299978531,-0.01716853794303314	0.02312887753654251,-0.002707812300193577,-0.01452640771148957
0.2090666666666662	0.03592507621905194,0.003967662915450421,-0.01707438495032901	0.02306170059856679,-0.002741082872385364,-0.01450001449615442
0.2123333333333329	0.03588415596007623,0.003962022377687989,-0.0168851004431142	0.02300222570835478,-0.002766429483792028,-0.0144454134786696
0.2155999999999996	0.03585783856604061,0.003958613663007817,-0.01666962744058847	0.02295374081354597,-0.00278418347154093,-0.01438140880556525
0.2188666666666662	0.03584470636177486,0.003936224552387863,-0.01649576117648807	0.02291459943268208,-0.002797469729826176,-0.01432553184609603
0.2221333333333329	0.03583616919860505,0.003899747057025749,-0.01634736083570043	0.02287719670153314,-0.002810067185169766,-0.01427490052457881
0.2253999999999995	0.03582629835036289,0.003860020369921375,-0.0161976490843569	0.02283775221971408,-0.002823299851774905,-0.01422446166568956
0.2286666666666662	0.03583194153292332,0.003825029312509491,-0.01605804602925698	0.02281466077929757,-0.002828350286468162,-0.01417734565098122
0.2319333333333329	0.03586671301508257,0.00379616803438634,-0.01594166672048181	0.02282111330883253,-0.002819111844102377,-0.01413600451576333
0.2351999999999995	0.03590632861852373,0.003751836859651485,-0.01583233500459352	0.02282672500954108,-0.002810055729629314,-0.01409431121502677
0.2384666666666662	0.03592519800802314,0.003679973783357915,-0.01571825858841179	0.02280448739912153,-0.002813926981996579,-0.01404657176912923
0.2417333333333328	0.03593257448982413,0.003629819442417297,-0.01563368361215003	0.02278459837617024,-0.00281579641947725,-0.01399549923773114
0.2449999999999995	0.03594241315486385,0.003640028258761415,-0.01560916441350041	0.02279606225951588,-0.002802218038404976,-0.01394782767260636
0.2482666666666662	0.03594825232222898,0.00364682729300965,-0.01561258715301735	0.02280499923798683,-0.002792810301092453,-0.01391866964527679
0.2515333333333328	0.03594218261001574,0.003589828071967104,-0.01560591122824254	0.02277730787952821,-0.002806507663368761,-0.01391738271467396
0.2547999999999995	0.0359317992838209,0.003522320300804418,-0.01559391198157331	0.02274127819857032,-0.002825402317088912,-0.01392291856602095
0.2580666666666662	0.03592405532671079,0.003502256753773454,-0.01559288894728132	0.02272727395065135,-0.002830977569889882,-0.01391488461994349
0.2613333333333328	0.0359038732460492,0.003492269574711599,-0.01562387680473537	0.02270995637069973,-0.002837997097252274,-0.01390592808211758
0.2645999999999994	0.03585912659083803,0.003446840540625872,-0.01569559811699262	0.02266217489633566,-0.002862456625713742,-0.01391233785359152
0.2678666666666661	0.03581396444433611,0.003382909003200282,-0.01576410637241576	0.02260615075289494,-0.00289295864976058,-0.01393302354875638
0.2711333333333328	0.03579004056098214,0.003326302860752356,-0.0157929405803251	0.022566080884568,-0.002916957032038191,-0.01396284481036474
0.2743999999999994	0.03575933663878064,0.003278918103927995,-0.01582568623135341	0.02252393854453871,-0.002942113242014406,-0.01399580117170814
0.2776666666666661	0.03569554904979766,0.003237070460679026,-0.01590535259275716	0.02246099136904467,-0.002976043932233595,-0.01402575555817161
0.2809333333333328	0.03563050275087752,0.00319423271753726,-0.01599495934419982	0.02239818498221302,-0.003008270961437976,-0.01404894944051344
0.2841999999999994	0.03559585607154397,0.00314474578742757,-0.01605363661740594	0.02235587645332193,-0.003029555019268326,-0.01406383935917605
0.2874666666666661	0.03556065818511793,0.003093219161191131,-0.01610181971668783	0.02231145911593477,-0.003050688750588806,-0.01407315987148191
0.2907333333333327	0.03549406600824974,0.003045751904404481,-0.01616246387291195	0.02224320047724239,-0.003081600832673488,-0.01408023869934846
0.2939999999999994	0.03543020405919042,0.003001136160574581,-0.01620953793329502	0.02217648723949901,-0.00311147073528154,-0.01408855223668251
0.2972666666666661	0.03540364165536554,0.002955656809084817,-0.01621667105436037	0.02213630712464468,-0.003130034374826425,-0.01409926018972761
0.3005333333333327	0.03538384920660208,0.002906629851027059,-0.01620301339020085	0.02209851723148146,-0.003146255512238537,-0.01410210462158381
0.3037999999999993	0.03533654816742618,0.002850361020956605,-0.01618496545902442	0.02203475510185117,-0.003170267584237101,-0.01408649815301155
0.307066666666666	0.03527605391814161,0.002774342717346737,-0.01612356159095527	0.02194745728514625,-0.003200609028247359,-0.01405340444646988
0.3103333333333327	0.03522064758189387,0.002674221149288052,-0.01598467617875338	0.02184665025715835,-0.003233085777928989,-0.01400622900121739
0.3135999999999993	0.03516379787254896,0.002590074576076925,-0.01580752492822199	0.02174725935506408,-0.00326126519308086,-0.01394369558371368
0.316866666666666	0.03510219504540912,0.002547251608292327,-0.01563050279481139	0.02166026770318303,-0.003280672736062218,-0.01386436661029314
0.3201333333333327	0.03505198994288514,0.002462872344004899,-0.01541487151393995	0.0215650078378403,-0.003299789022258271,-0.01377447039251025
0.3233999999999994	0.03502375872492636,0.002287010956939398,-0.01514323526642273	0.0214526743023679,-0.003323140626416308,-0.01368478683920932
0.326666666666666	0.03501793919362306,0.002213755134157393,-0.01496834672159551	0.02140767071870605,-0.003325084122438531,-0.01361275824655172
