time,paw_x,paw_y,paw_z,wrist_x,wrist_y,wrist_z,shoulder_x,shoulder_y,shoulder_z,elbow_x,elbow_y,elbow_z
0,0.0104791403933698,-0.00246949877913349,-0.196577363689092,0.0063804696482611,-0.00173159484555887,-0.196391977471421,-0.00164725318471349,0.0109053176284203,-0.195191449297633,-0.00269651009799255,-0.00370817702611623,-0.195958280413751
0.00666666666666667,0.0105014135564147,-0.00246767108325814,-0.196583042586496,0.00641031273208879,-0.00170693859998503,-0.19638829890703,-0.00157597346260625,0.0109064744663387,-0.19519292012566,-0.00261143259082998,-0.00366800058816354,-0.195926100804656
0.0133333333333333,0.0105224738349079,-0.00247529544760023,-0.196620766801739,0.0064622613339297,-0.00171160529949362,-0.196360295852501,-0.00149198656853323,0.0108299958070693,-0.195054457832335,-0.00253380021293868,-0.00364341401305498,-0.195872555884065
0.02,0.0105384526974805,-0.0024803592232749,-0.196622249017053,0.00648439234676928,-0.00172284889579324,-0.196331081863846,-0.0014630454314485,0.0108121904614126,-0.195161794923699,-0.00248686003276605,-0.00365868149053139,-0.195869806552678
0.0266666666666667,0.0105686848954204,-0.00247548458240979,-0.196582033279704,0.0064772152858268,-0.00172125860654492,-0.196327328863689,-0.00144207791594552,0.0108360969357268,-0.1951862695157,-0.00252498053461801,-0.00364802361245073,-0.19589434338289
0.0333333333333333,0.010563186463803,-0.0024752671986497,-0.196562203460924,0.00645449376064463,-0.00171281764116046,-0.196333350946642,-0.0014618768210038,0.0108104496684798,-0.195251158757418,-0.00257326950677994,-0.00366449407894556,-0.195890448382062
0.04,0.0105107788249624,-0.00248299347449042,-0.196606484649163,0.00643556766351411,-0.00171210670372121,-0.196336589722613,-0.00137754395675188,0.0108201402653539,-0.195229934943451,-0.002530690450964,-0.00363311456364333,-0.19579235784605
0.0466666666666667,0.0105220044966433,-0.00248861163709144,-0.19651609515082,0.00647705952497368,-0.00172184374239588,-0.196220082457521,-0.00135209490946461,0.0107605932945485,-0.195172985123506,-0.00249160669152113,-0.0036215963859486,-0.195800323770628
0.0533333333333333,0.0104925019986545,-0.00250646151426661,-0.196561726660813,0.00641693340024374,-0.00171677061564147,-0.196293291147781,-0.00127451245983801,0.0108178091186553,-0.195135220035414,-0.00248943948968905,-0.00362538223075451,-0.195792157381225
0.06,0.0105050844288441,-0.00252588033852074,-0.196543738487892,0.00645868445457163,-0.00171696069259745,-0.196248752028155,-0.00124912163850166,0.0108631439314925,-0.19511539927975,-0.00252640702360729,-0.0036053946754724,-0.195784146765414
0.0666666666666667,0.0105055456600846,-0.00252851315641929,-0.196550059710299,0.00649172545832884,-0.00171490257543915,-0.196220593269819,-0.00119752382807146,0.0108696491163201,-0.195010521327296,-0.00248089571019724,-0.00359656238828956,-0.195740265313857
0.0733333333333333,0.0105041250554014,-0.00252542166909477,-0.196531039021077,0.00649504523600527,-0.00170168217605766,-0.196227885856768,-0.00123167700756555,0.0108374763095791,-0.195054200552767,-0.00245921837825226,-0.00359541376340728,-0.195709141484684
0.08,0.0105011451921336,-0.00252455732030204,-0.19652941802373,0.00648553070719475,-0.00169083973520755,-0.19621185158387,-0.00123701157424178,0.010805902043033,-0.195047324389335,-0.00248328524046361,-0.00359054127625116,-0.195720330786441
0.0866666666666667,0.0104926010299985,-0.00253395511638153,-0.196533525610116,0.00647799065069028,-0.00170361353091425,-0.196215279506117,-0.0012485867986762,0.0108158172731308,-0.195093361779405,-0.00251695395892495,-0.00362801336924843,-0.195780799680025
0.0933333333333333,0.0104871969453476,-0.00253771904326229,-0.196525359361977,0.00644670999706941,-0.00170364103594621,-0.196240568041934,-0.00123466260902607,0.0107767702271535,-0.19505978034943,-0.00252585955756801,-0.00364082133384105,-0.195796495898287
0.1,0.0104773467299493,-0.00254016845436982,-0.19651701204753,0.00642737209150181,-0.00171158952054613,-0.196256378062096,-0.00121930087657924,0.0107580769978848,-0.195069827366557,-0.00253217280026054,-0.00363958106689047,-0.195794659763292
0.106666666666667,0.010487632448319,-0.00254816088336653,-0.196530585928858,0.00643158343541709,-0.00173052005518053,-0.196273199869351,-0.00121058338402126,0.0107356427502703,-0.195042381011879,-0.00256146451607732,-0.00363808409856644,-0.195858691384473
0.113333333333333,0.010492771693798,-0.00254755435015623,-0.196545456564805,0.00643230643684589,-0.00174704478371346,-0.196305648053483,-0.0011902775133559,0.0107294671811143,-0.19500678684405,-0.00258248270465631,-0.0036313534901799,-0.195885151577803
0.12,0.0104555904947912,-0.00253286744098246,-0.19665765123715,0.00637354253231107,-0.00173102326438536,-0.196435374820186,-0.00123682123153238,0.0106984017440762,-0.195058694690807,-0.00269674044285251,-0.0036829457624858,-0.196101401085117
0.126666666666667,0.0104565973837518,-0.0025439294337697,-0.196719205806267,0.00636409085614423,-0.00172982335053605,-0.196506151122149,-0.00130992855929776,0.0106473900877556,-0.195201352453223,-0.00278072584881175,-0.00370204388460459,-0.196220106298644
0.133333333333333,0.0104492422470858,-0.00252457361010612,-0.196736772981838,0.00636867860510368,-0.00173133279725896,-0.196566847128246,-0.0013248586948465,0.01061844765096,-0.195250027962349,-0.0028411903417833,-0.00375194981380015,-0.196191578033216
0.14,0.0104868002412835,-0.00250862016951801,-0.196705731924593,0.00641522523370343,-0.00172480179373085,-0.196540052956574,-0.00138803340246887,0.0105539067172177,-0.195368345340574,-0.00299366022740986,-0.00385700873817506,-0.196340040190679
0.146666666666667,0.0105090026097573,-0.00251545388107909,-0.196715075263846,0.00646607362745159,-0.00178901591664289,-0.196551578219833,-0.00141828913873662,0.0105468833565591,-0.195454061651056,-0.00299225297372001,-0.00389768793439315,-0.196444933605426
0.153333333333333,0.0105509726016446,-0.00251103999024882,-0.196675276325159,0.00656141399714262,-0.00182550018451419,-0.196537672027512,-0.00144451319448347,0.0105051840706272,-0.195543829532032,-0.00301339107944376,-0.00405504111354238,-0.196389013710471
0.16,0.010541620140304,-0.00247522044286952,-0.19656980489476,0.0065653240090354,-0.00186052183693717,-0.196486680943322,-0.00147742959755684,0.010493394352174,-0.19554442585995,-0.0030524555268145,-0.00397545994090028,-0.196580375346741
0.166666666666667,0.0105430432381966,-0.00245680578763132,-0.196646705547371,0.00654033737640263,-0.00185520074134406,-0.196618436212088,-0.00152415035578446,0.0104356220493799,-0.19564009772329,-0.00309193029680591,-0.00401640157981765,-0.196956696840271
0.173333333333333,0.0105557051198674,-0.00242730674118096,-0.196923489501802,0.00654522944430194,-0.00186451255988589,-0.196954281307329,-0.00144352358373868,0.0103452097336563,-0.19546271724463,-0.00302910850187167,-0.00397078647607144,-0.197165029556891
0.18,0.0106612698551323,-0.00238317055320563,-0.19704879433673,0.00672204684420485,-0.00183439350619294,-0.196971683279914,-0.00152954160242397,0.0100000997960783,-0.195718396469223,-0.00275001926846716,-0.00396941124617545,-0.197254397891598
0.186666666666667,0.0106326074890164,-0.00238499337474838,-0.197233923291602,0.00674833098071303,-0.00184132076441969,-0.197169632351899,-0.00147856664349954,0.00993995224798954,-0.195646830168635,-0.00258254427096045,-0.00384773634339392,-0.197135679809654
0.193333333333333,0.0106309422583228,-0.00237921383815254,-0.197696066658762,0.00673564836825834,-0.00192154476106274,-0.197629314424612,-0.00151924652628567,0.00979856135536592,-0.195712400456004,-0.00254257300270084,-0.0038947241214559,-0.197067595312038
0.2,0.0106152018802491,-0.002336931607943,-0.198200027084983,0.00678312225530115,-0.00190315597281075,-0.198176266496542,-0.00166416588637203,0.00947484094238221,-0.195699200987283,-0.00246819468390879,-0.003690101417433,-0.196928313429231
0.206666666666667,0.0107137063497259,-0.00230257109128938,-0.198360017288156,0.00691830745179445,-0.00194468522728171,-0.198283376671174,-0.00172078175107292,0.00925315669948767,-0.195763304080521,-0.00244518017432276,-0.00378914310391992,-0.197181693749394
0.213333333333333,0.0108067872896268,-0.00223501541208496,-0.19868109533144,0.00703184771465062,-0.00190975530180146,-0.198497529619456,-0.0018256761281368,0.00896289630349295,-0.195870885039535,-0.00249992200074434,-0.003600458588271,-0.197257755974885
0.22,0.0107771148788259,-0.00221626583085843,-0.199063682370015,0.00708506680338306,-0.00196567219901764,-0.198738633832379,-0.00187715192461252,0.00893455988441741,-0.195934660656437,-0.00240869132733304,-0.00365637420021137,-0.197430617390706
0.226666666666667,0.010833677062423,-0.00225843653384887,-0.199560352453843,0.00715991448609537,-0.00194961738376865,-0.198953170691708,-0.00192923574146253,0.0088379704210052,-0.196005387366849,-0.00255416179201977,-0.00384792886476183,-0.197536114751873
0.233333333333333,0.0110873180723595,-0.00228826521380204,-0.199848865465867,0.0074612759249209,-0.00192115883475407,-0.198950109882129,-0.00191535841835434,0.00879800076211487,-0.196099498744198,-0.00241751738441728,-0.00379249732310741,-0.197617339298124
0.24,0.0112676596639188,-0.00233427739284299,-0.200095575830142,0.00763268817300488,-0.00193440877392133,-0.199108870069743,-0.00199569098306399,0.00879643446287045,-0.196067940844878,-0.00203209388409696,-0.00349315118783813,-0.197569284198648
0.246666666666667,0.0112665333793992,-0.00245865062146466,-0.20009129615421,0.00774344751888527,-0.00188491811867204,-0.199190532078112,-0.0018543413918687,0.00880247619009076,-0.195992945456288,-0.00242892259089815,-0.00357686258197318,-0.197987258779672
0.253333333333333,0.0112507760103055,-0.00245710731030103,-0.200080652724223,0.00763715582733118,-0.00179129386193806,-0.199315743929301,-0.00170180772336707,0.00864458662831277,-0.195878826420208,-0.00255171962409945,-0.003693658686172,-0.198271521653978
0.26,0.011159002052362,-0.00226970078368394,-0.200151861594711,0.00743776643395558,-0.00154735565023026,-0.199166536441664,-0.00182100158354505,0.00868967177798385,-0.196101088678281,-0.00254258422647289,-0.00366723402819159,-0.198242024488291
0.266666666666667,0.0107976591641124,-0.00202491810332156,-0.199627180241409,0.00698411554039164,-0.00116905257001981,-0.198211358889645,-0.00199118618876919,0.00893052359140613,-0.196233433446313,-0.00257456444023916,-0.00343035256732202,-0.197816705815483
