DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0	0.03392570050734603,-0.002827261021811663,-0.02088159864302994	0.01925052796394477,-0.00468200207621421,-0.01857000655997361
0.00326666666666666	0.03395171259101784,-0.00289369512272292,-0.02088624365663648	0.01926865562185655,-0.004684841015717214,-0.01858167112758114
0.00653333333333332	0.03401460375283177,-0.00292305368762779,-0.02092426425081262	0.01933101756469766,-0.004694378386602152,-0.01861603007450464
0.009799999999999979	0.03405854460619223,-0.002920497985023134,-0.02098541636824616	0.01937953971444442,-0.004701322678465795,-0.01866016660397704
0.01306666666666664	0.03406780479570125,-0.002934431338914238,-0.02102539271158865	0.01938934162801305,-0.004702405717205184,-0.0186895600678155
0.0163333333333333	0.03404515835642084,-0.002990856179116205,-0.02100606085984192	0.01935729162406465,-0.004697613016358028,-0.01868590897025658
0.01959999999999996	0.03402760580204615,-0.002982043859966792,-0.02094716524628688	0.01933345721028305,-0.004694200174488081,-0.01866781776194978
0.02286666666666662	0.03404618203959719,-0.00282740511570932,-0.02087170873143869	0.01936038865162073,-0.004698512115610884,-0.01865261335269246
0.02613333333333328	0.0340786518445108,-0.002686874678607095,-0.02075574429167365	0.01939894944500702,-0.00470468576925231,-0.01861669480838923
0.02939999999999994	0.03409974613400962,-0.002700395723377113,-0.02057464719650734	0.01940397523870966,-0.004705885075014307,-0.01853690810197394
0.0326666666666666	0.03409690674779136,-0.002692010531133331,-0.02035239937980665	0.01938575827838973,-0.004702993053575929,-0.01843015732016241
0.03593333333333326	0.03406890850430808,-0.002483315102705127,-0.02011462233013221	0.01936901886784853,-0.004699262818106082,-0.01831296721126107
0.03919999999999992	0.03405971631140081,-0.002196101874097592,-0.01981608846816423	0.01938562725613667,-0.004698573788599305,-0.01815939555985024
0.04246666666666658	0.0341099694280038,-0.001969616497476925,-0.01940732819031916	0.0194546259349782,-0.004701115250559187,-0.0179423626851145
