DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0	0.03392570044317918,-0.002827260830690607,-0.02088160021245645	0.01925052796394477,-0.00468200207621421,-0.01857000655997361
0.00326666666666666	0.04004606329223677,0.007039099828087964,-0.01412930433099745	0.02791822857070079,-0.001532173567058509,-0.01286272479760774
0.00653333333333332	0.04011439322681482,0.007187485174581882,-0.01418373853580532	0.02804149518050525,-0.001450457023770328,-0.01286822348686623
0.009799999999999979	0.04015890139373285,0.007314030494814073,-0.01420136486422939	0.02813219838995601,-0.001381881188822372,-0.01286042481898328
0.01306666666666664	0.04019440035331133,0.007426610164153649,-0.01420104804442313	0.02820695418226878,-0.001318859456558307,-0.01284480141267365
0.0163333333333333	0.04022154390594396,0.007524092287756141,-0.01418832306939362	0.02826673292820621,-0.001262905544690166,-0.01282430467447457
0.01959999999999996	0.04024171245457786,0.007607158176551249,-0.01416843728165242	0.02831373481725574,-0.001214228224180977,-0.01280134936817926
0.02286666666666662	0.04025586738471283,0.007676774569806916,-0.01414487646088663	0.02834971860966605,-0.001172795513368265,-0.01277757130171723
0.02613333333333328	0.040265018530541,0.007734562878330731,-0.01411977129438052	0.02837654010518956,-0.001138018498966335,-0.01275394044968709
0.02939999999999994	0.04027029491355101,0.007782418320639303,-0.0140950696802981	0.0283961983242907,-0.001109014955578826,-0.0127312380530148
0.0326666666666666	0.04027276549041604,0.007822312042304224,-0.01407219993827405	0.02841057112342105,-0.001084743677454963,-0.01270992716333554
0.03593333333333326	0.0402733747254484,0.007856080642912525,-0.01405233393641892	0.02842134043716142,-0.001064212501706248,-0.01269037130452453
0.03919999999999992	0.04027274992133101,0.007885190234323127,-0.01403591544892426	0.0284296887270533,-0.0010466250371799,-0.01267267538947562
0.04246666666666658	0.04027131377789056,0.007910866238834545,-0.01402300102644455	0.02843649296214729,-0.00103133145130099,-0.01265682962933112
0.04573333333333324	0.04026927534987346,0.007933975238133965,-0.01401322198141388	0.02844225922660911,-0.001017880061224177,-0.012642702140292
0.0489999999999999	0.04026678772791807,0.007955248142810812,-0.01400613482478539	0.02844738002573009,-0.001005885090046246,-0.01263013804107106
0.05226666666666656	0.04026393754769665,0.007975180927918327,-0.01400126375643114	0.02845208631411395,-0.0009950754843310212,-0.01261897422351958
0.05553333333333321	0.04026080069122819,0.00799417799842277,-0.01399817622254107	0.02845656332790092,-0.0009852218295137993,-0.01260906294502326
0.05879999999999988	0.04025742325609349,0.008012479676717539,-0.01399648841388199	0.0284609036426036,-0.0009761730029152448,-0.0126002702918486
0.06206666666666654	0.04025383762931511,0.008030258778910178,-0.01399583980251462	0.0284651609124883,-0.0009678113775199032,-0.01259247018592488
0.0653333333333332	0.04025006783773979,0.008047587776586998,-0.01399592988055818	0.02846934223653937,-0.0009600647399756121,-0.01258555271382295
0.06859999999999987	0.04024613991680807,0.008064505988668692,-0.01399649450697279	0.02847344390274995,-0.0009528739895324038,-0.01257941666326519
0.07186666666666652	0.04024208862188321,0.008081003682626913,-0.01399734640696092	0.02847745337338944,-0.0009461983376855103,-0.01257397954222642
0.07513333333333318	0.04023795564823471,0.008097056766255792,-0.01399833761302642	0.02848136012758783,-0.0009400010583345102,-0.01256916839716065
0.07839999999999983	0.04023378859955791,0.008112617836675814,-0.01399937781841799	0.02848515289633395,-0.0009342541553996539,-0.01256492346608093
0.0816666666666665	0.0402296360161494,0.008127632006159033,-0.01400039768646212	0.02848881961649077,-0.0009289331637543329,-0.01256118997571182
0.08493333333333317	0.04022554537957077,0.00814203498352245,-0.0140013579224557	0.02849234635099836,-0.0009240193538857452,-0.01255792011005066
0.08819999999999982	0.04022156242760294,0.008155760771279717,-0.01400222903543154	0.02849571812138213,-0.000919496151628129,-0.01255506843789021
0.09146666666666649	0.04021772885158118,0.008168743945429496,-0.01400299726341427	0.02849891944382616,-0.0009153501037016676,-0.01255259397472742
0.09473333333333316	0.04021408400572792,0.008180921455205126,-0.01400365452195305	0.0285019350812025,-0.0009115686770302528,-0.01255045767494296
0.0979999999999998	0.04021066128870285,0.008192236584668713,-0.01400420002486162	0.02850475008272623,-0.0009081411585199206,-0.01254862381877696
0.1012666666666665	0.04020749072738447,0.008202636750477872,-0.01400463493235101	0.02850734966362575,-0.0009050575784134256,-0.01254705819391071
0.1045333333333331	0.04020459528751211,0.008212078703552997,-0.01400496200404273	0.02850971961543053,-0.0009023091707517535,-0.01254572927096875
0.1077999999999998	0.04020199426394758,0.008220524389078564,-0.01400518395212169	0.02851184612294404,-0.0008998876078731254,-0.0125446067983054
0.1110666666666665	0.04019970024295513,0.008227947004223411,-0.01400530315935888	0.02851371705430109,-0.0008977848685272696,-0.01254366314622315
0.1143333333333331	0.04019772260868456,0.008234325698446043,-0.01400532181835415	0.02851532143349178,-0.0008959928243816861,-0.01254287203262619
0.1175999999999998	0.04019606506655533,0.00823965195486917,-0.01400524177591909	0.02851665124653925,-0.0008945026768628385,-0.01254220984070591
0.1208666666666664	0.04019472869146638,0.008243923538408018,-0.01400506485507205	0.02851770023566463,-0.0008933050510093569,-0.01254165430266156
0.1241333333333331	0.04019371013344881,0.008247151008576793,-0.01400479294206175	0.0285184661937249,-0.0008923889777814019,-0.01254118571775271
0.1273999999999997	0.04019300405492998,0.008249351306272815,-0.01400442813422044	0.02851894915822773,-0.0008917424722349569,-0.01254078564764249
0.1306666666666664	0.04019260190275281,0.008250553981720365,-0.01400397313903497	0.02851915393315851,-0.0008913513047945493,-0.01254043808639798
0.1339333333333331	0.04019249370798994,0.008250794697372913,-0.0140034311331505	0.02851908780852733,-0.0008912000034528821,-0.01254012822348196
0.1371999999999997	0.04019266713243436,0.008250120639069663,-0.01400280625695112	0.02851876285888386,-0.0008912708002296113,-0.01253984360611438
0.1404666666666664	0.04019310875264959,0.008248584333843491,-0.01400210319267591	0.02851819346264108,-0.0008915448334547264,-0.01253957295967994
0.143733333333333	0.04019380318494935,0.008246247878843267,-0.01400132759271301	0.02851739807991199,-0.0008920015459444736,-0.01253930740404227
0.1469999999999997	0.04019473409620952,0.008243177567015538,-0.01400048557209804	0.02851639697506523,-0.0008926197361391469,-0.01253903928698254
0.1502666666666664	0.04019588341834467,0.00823944689739806,-0.01399958414504719	0.02851521349230863,-0.0008933774468094235,-0.01253876353850111
0.153533333333333	0.04019723226455345,0.008235132366669062,-0.01399863076929121	0.0285138722664681,-0.0008942525866012276,-0.01253847644152308
0.1567999999999997	0.04019876027062609,0.008230315348459324,-0.01399763386907319	0.02851240008292871,-0.0008952232676615705,-0.01253817716867816
0.1600666666666663	0.04020044643051558,0.00822507910651398,-0.01399660238598901	0.02851082459662792,-0.0008962679342504123,-0.012537866420549
0.163333333333333	0.0402022686176263,0.008219509673891861,-0.01399554643750327	0.0285091748804384,-0.0008973660624434186,-0.01253754814083415
0.1665999999999997	0.04020420428302821,0.008213693984492615,-0.01399447679193042	0.02850748055381164,-0.0008984978481703966,-0.01253722798387847
0.1698666666666663	0.04020623001666522,0.008207719608386347,-0.01399340548474917	0.02850577183831223,-0.000899645378213465,-0.01253691515758341
0.173133333333333	0.04020832208821638,0.008201673907743862,-0.0139923451914055	0.02850407903733558,-0.0009007919222235247,-0.01253662071794366
0.1763999999999996	0.04021045590676876,0.008195642352823225,-0.0139913096365541	0.02850243185254529,-0.0009019237332241539,-0.01253635948579038
0.1796666666666663	0.04021260648927119,0.00818970881130265,-0.01399031298319917	0.028500859339387,-0.0009030288653178627,-0.01253614819977062
0.182933333333333	0.04021474769955662,0.00818395224733068,-0.01398936977547719	0.0284993882597963,-0.0009040996806747754,-0.01253600735553849
0.1861999999999996	0.04021685278998025,0.008178448411629563,-0.01398849456757222	0.02849804376976011,-0.0009051310384515232,-0.01253595928972948
0.1894666666666663	0.04021889360055295,0.00817326502545598,-0.01398770154470882	0.02849684694763367,-0.0009061232906502868,-0.01253602977873599
0.1927333333333329	0.04022084126025662,0.008168465048795807,-0.01398700454647163	0.02849581639872487,-0.0009070797920705254,-0.01253624619690245
0.1959999999999996	0.04022266553623935,0.008164100500739766,-0.01398641641129643	0.0284949650986951,-0.000908010109675908,-0.01253663862230641
0.1992666666666663	0.04022433557693439,0.008160217249180115,-0.01398594932499322	0.02849430284325963,-0.0009089270233990539,-0.0125372382376176
0.2025333333333329	0.04022581970966357,0.008156847790576405,-0.01398561392056212	0.0284938326769917,-0.0009098495172865789,-0.01253807760879207
0.2057999999999996	0.0402270860093224,0.008154017378181484,-0.01398541992074079	0.02849355401436292,-0.000910799582829705,-0.01253918959135813
0.2090666666666662	0.04022810294499755,0.008151736152382759,-0.01398537535316809	0.0284934590657228,-0.0009118045077894411,-0.01254060653752736
0.2123333333333329	0.04022883950379243,0.008150006312577783,-0.01398548740518808	0.02849353637619619,-0.0009128938956986209,-0.01254236003145512
0.2155999999999996	0.04022926711828682,0.008148813935345372,-0.01398576231988074	0.02849376769238001,-0.0009141008148381632,-0.01254447888833499
0.2188666666666662	0.04022935892269495,0.008148136789852326,-0.01398620604530466	0.028494131462237,-0.0009154595248702553,-0.0125469899164019
0.2221333333333329	0.0402290925254046,0.008147935417745358,-0.01398682414602484	0.02849459952337917,-0.0009170057693321139,-0.01254991438953575
0.2253999999999995	0.04022844814089738,0.008148161364033582,-0.01398762188651034	0.0284951403084062,-0.0009187755576461794,-0.01255327005788317
0.2286666666666662	0.04022741141932111,0.008148746673339169,-0.01398860264664178	0.02849571421162801,-0.0009208051962429943,-0.01255706561534216
0.2319333333333329	0.040225970835724,0.008149612875382779,-0.01398976838619711	0.0284962770805115,-0.0009231309632986885,-0.01256130440695458
0.2351999999999995	0.04022412122688745,0.008150658673515492,-0.01399111845101115	0.02849677486734353,-0.0009257888617276236,-0.01256597758541093
0.2384666666666662	0.04022186080554128,0.008151770391633829,-0.01399265084085332	0.02849714801096256,-0.0009288146841491436,-0.01257106947933934
0.2417333333333328	0.04021919324416461,0.00815280573202673,-0.0139943586766768	0.02849732267525885,-0.0009322454118159788,-0.01257654912354881
0.2449999999999995	0.04021612443304928,0.008153606432740993,-0.01399623100798125	0.02849721626550199,-0.0009361191494426831,-0.01258237680230556
0.2482666666666662	0.04021265942661455,0.008153977588254813,-0.01399823557179746	0.02849672096930404,-0.0009404791079893823,-0.01258849021660862
0.2515333333333328	0.04020880142748325,0.008153704258550699,-0.01400032525803056	0.02849571377191118,-0.0009453720491985999,-0.01259481421860784
0.2547999999999995	0.04020455744823932,0.008152540195281579,-0.01400242646055357	0.02849405030140088,-0.0009508432667624904,-0.01260124562898368
0.2580666666666662	0.04019993961216846,0.008150227164428177,-0.0140044566774607	0.02849157947748967,-0.0009569341298390731,-0.01260766727454124
0.2613333333333328	0.04019499514470268,0.008146508789513909,-0.01400635197586862	0.02848817009200952,-0.0009636570442298313,-0.01261394162223978
0.2645999999999994	0.04018979777864734,0.008141141173912172,-0.01400807055654996	0.02848371330079184,-0.0009710006841513359,-0.01261992186932862
0.2678666666666661	0.04018447803386443,0.008133929258253037,-0.01400960288565056	0.02847815747121936,-0.000978893694864303,-0.01262543782740351
0.2711333333333328	0.0401791991107314,0.008124715961955593,-0.01401095417287643	0.02847148889740743,-0.0009872270397473792,-0.01263030672954857
0.2743999999999994	0.04017422699898384,0.008113483875936205,-0.01401218179561186	0.02846382678309348,-0.0009957717308909965,-0.01263431990481425
